module	1.00 	2.00 	3.00 	4.00 	5.00 	6.00 	7.00 	8.00 	9.00 	10.00 	11.00 	12.00 	13.00 	14.00 	15.00 	16.00 
QKV	4.93 	7.25 	10.30 	12.45 	14.41 	16.82 	20.04 	22.43 	25.35 	28.57 	31.77 	38.89 	41.92 	45.73 	44.20 	47.31 
QK_T	0.00 	20.71 	24.84 	40.96 	52.39 	55.54 	78.72 	85.88 	98.72 	128.48 	138.16 	164.39 	206.19 	202.11 	234.73 	268.17 
AttnV	0.00 	5.17 	7.44 	9.68 	11.31 	13.51 	17.57 	20.37 	24.74 	27.41 	30.74 	35.71 	41.35 	44.06 	52.59 	55.16 
SiLU	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	1.51 	1.74 	1.97 	2.17 	2.45 	2.81 	3.09 	3.49 	3.36 	4.34 
UpGate	14.95 	23.01 	38.47 	41.30 	45.59 	62.83 	62.56 	71.41 	82.14 	98.16 	105.92 	137.10 	127.64 	137.12 	135.35 	167.66 
Down	18.41 	26.88 	37.09 	53.79 	55.74 	71.37 	74.91 	79.36 	79.15 	94.16 	98.44 	104.61 	129.00 	128.52 	135.88 	146.67 
Cache	0.83 	1.49 	1.76 	2.43 	2.92 	2.99 	3.95 	5.16 	5.61 	5.63 	6.36 	8.21 	7.56 	8.12 	7.84 	8.08 
CtMult	0.05 	0.07 	0.09 	0.10 	0.11 	0.16 	0.17 	0.20 	0.22 	0.25 	0.27 	0.30 	0.32 	0.35 	0.38 	0.44 
Softmax	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	6.44 	7.18 	7.77 	8.98 	9.67 
SqrtNt	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	9.69 	10.74 	11.50 	13.41 	14.33 
SqrtGold	0.00 	0.00 	0.00 	0.43 	0.53 	0.65 	0.79 	0.91 	1.09 	1.22 	1.39 	1.52 	1.69 	1.83 	2.01 	2.21 
